name,parent,value
ASA,origin,0.102566465
ASAI,origin,0.595761071
ASAN,origin,0.638717226
ASAX,origin,0.052631579
ASAXW,origin,0.45410628
ASB,origin,0.569477769
ASBpE,origin,0.300097752
ASBpF,origin,0.205835962
ASC,origin,0.459001128
ASCBU,origin,1
ASEA,origin,0.856990962
ASET,origin,0.996381667
ASG,origin,0.48125158
ASGI,origin,0.359949303
ASGN,origin,0.43148838
ASH,origin,0.299910942
ASHR,origin,0.242826412
ASHS,origin,0.486187845
ASIX,origin,0.626354759
ASLE,origin,0.369308291
ASLN,origin,0.4789849
ASM,origin,0.435298573
ASMB,origin,0.704145985
ASML,origin,0.285744134
ASND,origin,0.378421027
ASNS,origin,0.057813343
ASO,origin,0.68959538
ASPAW,origin,1
ASPN,origin,0.660903226
ASPS,origin,0.450986369
ASPU,origin,0.606954895
ASPY,origin,0.933171324
ASR,origin,0.827285767
ASRT,origin,0.246712429
ASRV,origin,0.545454545
ASTC,origin,0.454211444
ASTE,origin,0.549210814
ASTI,origin,0.255063903
ASTL,origin,0.565668459
ASTLW,origin,0.005288087
ASTR,origin,0.626198461
ASTS,origin,0.606733465
ASTSW,origin,0.413912802
ASUR,origin,0.092221331
ASX,origin,0.599182895
ASXC,origin,0.489653336
ASYS,origin,0.195486936
ASZ,origin,0.163255563
ASZ/U,origin,0.718778077
ATA,origin,0.504587156
ATAI,origin,0.589775384
ATAX,origin,0.528640181
ATCO,origin,0.313397326
ATCOL,origin,0.206753963
ATCOpD,origin,0.908033033
ATCOpH,origin,0.281019656
ATCOpI,origin,0.240359416
ATCX,origin,0.590854392
ATEC,origin,0.338325492
ATEK,origin,0.5
ATEN,origin,0.381264969
ATER,origin,0.424993825
ATEX,origin,0.527734332
ATFV,origin,1
ATGE,origin,0.139492172
ATHA,origin,0.456560459
ATHE,origin,0.747061495
ATHM,origin,0.414606577
ATHpA,origin,0.396922218
ATHpB,origin,0.56711346
ATHpC,origin,0.192339594
ATHpD,origin,0.558308062
ATHX,origin,0.511061947
ATI,origin,0.348156244
ATIF,origin,0.090831191
ATIP,origin,0.577667181
ATIP/WS,origin,1
ATKR,origin,0.452809235
ATLC,origin,0.446494465
ATLCL,origin,0.786511836
ATLCP,origin,0.550904977
ATLO,origin,0.008365128
ATMP,origin,1
ATNF,origin,0.348299564
ATNFW,origin,0.545454545
ATNI,origin,0.509612198
ATNM,origin,0.512281978
ATNX,origin,0.519968819
ATO,origin,0.564616667
ATOM,origin,0.4800906
ATOS,origin,0.457716625
ATR,origin,0.807095879
ATRA,origin,0.435629941
ATRC,origin,0.558219
ATRI,origin,0.797633136
ATRO,origin,0.872424271
ATSG,origin,0.621574036
ATTO,origin,0.368583162
ATUS,origin,0.389302781
ATVI,origin,0.185377132
ATXG,origin,0.352777433
ATXI,origin,0.386368334
ATXS,origin,0.503584631
ATY,origin,0.053509691
AU,origin,0.353342835
AUB,origin,0.483388951
AUBAP,origin,0.388616462
AUBN,origin,0.005747126
